273.27,0.00,23.37
273.27,0.00,23.37
271.15,0.01,23.56
267.33,0.02,23.81
261.78,0.03,24.12
257.18,0.05,24.44
249.76,0.07,24.81
243.27,0.09,25.19
233.93,0.11,25.62
225.50,0.13,26.06
219.61,0.15,26.44
209.79,0.17,26.87
200.88,0.19,27.31
191.80,0.21,27.75
182.56,0.24,28.19
173.15,0.26,28.62
166.27,0.28,29.00
158.18,0.30,29.37
149.95,0.31,29.75
141.58,0.33,30.12
135.76,0.35,30.44
126.05,0.37,30.81
122.68,0.38,31.06
114.37,0.40,31.37
109.71,0.41,31.62
103.88,0.42,31.87
97.96,0.43,32.13
94.65,0.44,32.31
90.20,0.45,32.50
85.67,0.46,32.69
83.77,0.47,32.81
80.76,0.47,32.94
77.70,0.48,33.06
74.59,0.49,33.19
74.14,0.49,33.25
69.88,0.50,33.38
69.36,0.50,33.44
67.74,0.50,33.50
68.80,0.50,33.50
66.09,0.50,33.56
64.42,0.51,33.63
65.43,0.51,33.63
65.37,0.51,33.63
65.31,0.51,33.63
65.25,0.51,33.63
65.19,0.51,33.63
65.14,0.51,33.63
65.08,0.51,33.63
67.72,0.50,33.56
66.61,0.50,33.56
66.58,0.50,33.56
69.25,0.50,33.50
68.16,0.50,33.50
68.15,0.50,33.50
70.85,0.50,33.44
69.79,0.50,33.44
69.80,0.50,33.44
69.81,0.50,33.44
69.82,0.50,33.44
69.84,0.50,33.44
69.85,0.50,33.44
69.86,0.50,33.44
69.87,0.50,33.44
69.89,0.50,33.44
69.90,0.50,33.44
69.91,0.50,33.44
69.92,0.50,33.44
69.94,0.50,33.44
69.95,0.50,33.44
69.96,0.50,33.44
69.97,0.50,33.44
69.98,0.50,33.44
70.00,0.50,33.44
70.01,0.50,33.44
70.02,0.50,33.44
67.33,0.50,33.50
68.39,0.50,33.50
68.38,0.50,33.50
68.37,0.50,33.50
65.65,0.50,33.56
66.69,0.50,33.56
66.65,0.50,33.56
66.62,0.50,33.56
66.58,0.50,33.56
66.55,0.50,33.56
66.51,0.50,33.56
66.48,0.50,33.56
63.74,0.51,33.63
64.75,0.51,33.63
64.69,0.51,33.63
64.63,0.51,33.63
64.57,0.51,33.63
61.81,0.51,33.69
62.80,0.51,33.69
62.71,0.51,33.69
62.63,0.51,33.69
62.55,0.51,33.69
62.47,0.51,33.69
62.38,0.51,33.69
62.30,0.51,33.69
62.22,0.51,33.69
62.13,0.51,33.69
62.05,0.51,33.69
61.97,0.51,33.69
61.88,0.51,33.69
61.80,0.51,33.69
61.72,0.51,33.69
58.93,0.51,33.75
59.90,0.51,33.75
62.49,0.51,33.69
58.63,0.51,33.75
59.60,0.51,33.75
59.49,0.51,33.75
59.39,0.51,33.75
61.98,0.51,33.69
60.83,0.51,33.69
60.75,0.51,33.69
60.66,0.51,33.69
60.58,0.51,33.69
63.20,0.51,33.63
62.07,0.51,33.63
62.01,0.51,33.63
61.95,0.51,33.63
61.89,0.51,33.63
61.83,0.51,33.63
64.48,0.50,33.56
63.37,0.50,33.56
63.34,0.50,33.56
63.30,0.50,33.56
63.27,0.50,33.56
63.23,0.50,33.56
63.20,0.50,33.56
63.16,0.50,33.56
63.12,0.50,33.56
63.09,0.50,33.56
65.76,0.50,33.50
64.67,0.50,33.50
61.96,0.50,33.56
65.70,0.50,33.50
64.62,0.50,33.50
64.61,0.50,33.50
64.59,0.50,33.50
64.58,0.50,33.50
64.57,0.50,33.50
64.56,0.50,33.50
64.55,0.50,33.50
64.54,0.50,33.50
64.53,0.50,33.50
64.51,0.50,33.50
64.50,0.50,33.50
64.49,0.50,33.50
64.48,0.50,33.50
64.47,0.50,33.50
64.46,0.50,33.50
64.45,0.50,33.50
67.14,0.50,33.44
66.08,0.50,33.44
66.09,0.50,33.44
66.10,0.50,33.44
66.12,0.50,33.44
66.13,0.50,33.44
66.14,0.50,33.44
66.15,0.50,33.44
63.46,0.50,33.50
67.23,0.50,33.44
66.17,0.50,33.44
66.18,0.50,33.44
66.19,0.50,33.44
63.50,0.50,33.50
67.26,0.50,33.44
66.20,0.50,33.44
66.22,0.50,33.44
66.23,0.50,33.44
66.24,0.50,33.44
66.25,0.50,33.44
66.27,0.50,33.44
66.28,0.50,33.44
66.29,0.50,33.44
66.30,0.50,33.44
66.32,0.50,33.44
66.33,0.50,33.44
66.34,0.50,33.44
63.65,0.50,33.50
67.41,0.50,33.44
63.65,0.50,33.50
64.71,0.50,33.50
64.70,0.50,33.50
64.69,0.50,33.50
64.68,0.50,33.50
64.66,0.50,33.50
64.65,0.50,33.50
64.64,0.50,33.50
64.63,0.50,33.50
64.62,0.50,33.50
64.61,0.50,33.50
64.60,0.50,33.50
64.58,0.50,33.50
64.57,0.50,33.50
64.56,0.50,33.50
64.55,0.50,33.50
64.54,0.50,33.50
64.53,0.50,33.50
64.52,0.50,33.50
64.50,0.50,33.50
64.49,0.50,33.50
67.19,0.50,33.44
63.42,0.50,33.50
67.19,0.50,33.44
63.42,0.50,33.50
64.48,0.50,33.50
64.47,0.50,33.50
64.46,0.50,33.50
64.45,0.50,33.50
67.14,0.50,33.44
66.08,0.50,33.44
66.09,0.50,33.44
66.11,0.50,33.44
66.12,0.50,33.44
66.13,0.50,33.44
66.14,0.50,33.44
66.16,0.50,33.44
68.87,0.50,33.38
65.13,0.50,33.44
66.22,0.50,33.44
68.94,0.50,33.38
67.90,0.50,33.38
67.94,0.50,33.38
67.97,0.50,33.38
68.01,0.50,33.38
68.04,0.50,33.38
68.08,0.50,33.38
68.12,0.50,33.38
68.15,0.50,33.38
68.19,0.50,33.38
70.93,0.49,33.31
69.92,0.49,33.31
69.98,0.49,33.31
70.04,0.49,33.31
70.10,0.49,33.31
70.16,0.49,33.31
70.22,0.49,33.31
70.28,0.49,33.31
70.34,0.49,33.31
67.69,0.50,33.38
71.51,0.49,33.31
67.79,0.50,33.38
68.90,0.50,33.38
68.93,0.50,33.38
68.97,0.50,33.38
69.01,0.50,33.38
69.04,0.50,33.38
69.08,0.50,33.38
69.12,0.50,33.38
69.15,0.50,33.38
69.19,0.50,33.38
69.22,0.50,33.38
66.56,0.50,33.44
67.64,0.50,33.44
70.36,0.50,33.38
66.62,0.50,33.44
70.41,0.50,33.38
66.67,0.50,33.44
67.75,0.50,33.44
70.47,0.50,33.38
66.73,0.50,33.44
67.81,0.50,33.44
67.82,0.50,33.44
67.84,0.50,33.44
67.85,0.50,33.44
70.57,0.50,33.38
69.53,0.50,33.38
66.86,0.50,33.44
67.95,0.50,33.44
70.66,0.50,33.38
69.63,0.50,33.38
69.66,0.50,33.38
69.70,0.50,33.38
67.03,0.50,33.44
70.82,0.50,33.38
69.78,0.50,33.38
69.82,0.50,33.38
69.86,0.50,33.38
69.89,0.50,33.38
69.93,0.50,33.38
69.97,0.50,33.38
70.00,0.50,33.38
70.04,0.50,33.38
70.07,0.50,33.38
70.11,0.50,33.38
70.15,0.50,33.38
70.18,0.50,33.38
70.22,0.50,33.38
70.26,0.50,33.38
70.29,0.50,33.38
70.33,0.50,33.38
70.36,0.50,33.38
67.70,0.50,33.44
71.49,0.50,33.38
70.45,0.50,33.38
70.49,0.50,33.38
70.52,0.50,33.38
67.85,0.50,33.44
68.94,0.50,33.44
68.95,0.50,33.44
68.96,0.50,33.44
68.98,0.50,33.44
68.99,0.50,33.44
69.00,0.50,33.44
69.01,0.50,33.44
69.03,0.50,33.44
69.04,0.50,33.44
69.05,0.50,33.44
69.06,0.50,33.44
69.07,0.50,33.44
69.09,0.50,33.44
69.10,0.50,33.44
69.11,0.50,33.44
69.12,0.50,33.44
69.14,0.50,33.44
69.15,0.50,33.44
69.16,0.50,33.44
69.17,0.50,33.44
69.19,0.50,33.44
66.49,0.50,33.50
70.26,0.50,33.44
69.20,0.50,33.44
69.21,0.50,33.44
66.52,0.50,33.50
70.29,0.50,33.44
66.52,0.50,33.50
67.58,0.50,33.50
67.57,0.50,33.50
67.56,0.50,33.50
67.55,0.50,33.50
67.54,0.50,33.50
70.23,0.50,33.44
66.46,0.50,33.50
67.53,0.50,33.50
67.51,0.50,33.50
67.50,0.50,33.50
67.49,0.50,33.50
67.48,0.50,33.50
67.47,0.50,33.50
67.46,0.50,33.50
67.45,0.50,33.50
67.43,0.50,33.50
67.42,0.50,33.50
67.41,0.50,33.50
70.10,0.50,33.44
66.34,0.50,33.50
70.11,0.50,33.44
66.34,0.50,33.50
67.40,0.50,33.50
67.39,0.50,33.50
67.38,0.50,33.50
67.37,0.50,33.50
67.36,0.50,33.50
67.34,0.50,33.50
67.33,0.50,33.50
67.32,0.50,33.50
64.60,0.50,33.56
68.35,0.50,33.50
64.56,0.50,33.56
65.60,0.50,33.56
65.56,0.50,33.56
65.52,0.50,33.56
65.49,0.50,33.56
65.45,0.50,33.56
65.42,0.50,33.56
65.38,0.50,33.56
65.35,0.50,33.56
65.31,0.50,33.56
65.28,0.50,33.56
65.24,0.50,33.56
65.21,0.50,33.56
65.17,0.50,33.56
65.14,0.50,33.56
65.10,0.50,33.56
65.07,0.50,33.56
65.03,0.50,33.56
65.00,0.50,33.56
64.96,0.50,33.56
64.92,0.50,33.56
64.89,0.50,33.56
64.85,0.50,33.56
64.82,0.50,33.56
64.78,0.50,33.56
64.75,0.50,33.56
67.42,0.50,33.50
66.33,0.50,33.50
66.32,0.50,33.50
66.31,0.50,33.50
63.59,0.50,33.56
67.34,0.50,33.50
63.55,0.50,33.56
67.29,0.50,33.50
66.21,0.50,33.50
66.19,0.50,33.50
66.18,0.50,33.50
66.17,0.50,33.50
66.16,0.50,33.50
66.15,0.50,33.50
66.14,0.50,33.50
66.13,0.50,33.50
66.11,0.50,33.50
66.10,0.50,33.50
66.09,0.50,33.50
68.79,0.50,33.44
67.73,0.50,33.44
67.74,0.50,33.44
67.75,0.50,33.44
67.76,0.50,33.44
65.07,0.50,33.50
68.84,0.50,33.44
65.07,0.50,33.50
66.13,0.50,33.50
68.83,0.50,33.44
67.77,0.50,33.44
67.78,0.50,33.44
67.79,0.50,33.44
67.80,0.50,33.44
67.81,0.50,33.44
67.83,0.50,33.44
67.84,0.50,33.44
67.85,0.50,33.44
67.86,0.50,33.44
67.88,0.50,33.44
67.89,0.50,33.44
65.20,0.50,33.50
68.96,0.50,33.44
65.20,0.50,33.50
66.26,0.50,33.50
66.25,0.50,33.50
66.24,0.50,33.50
66.22,0.50,33.50
66.21,0.50,33.50
66.20,0.50,33.50
66.19,0.50,33.50
66.18,0.50,33.50
66.17,0.50,33.50
66.16,0.50,33.50
66.14,0.50,33.50
66.13,0.50,33.50
66.12,0.50,33.50
66.11,0.50,33.50
68.80,0.50,33.44
65.04,0.50,33.50
66.10,0.50,33.50
66.09,0.50,33.50
68.78,0.50,33.44
67.72,0.50,33.44
67.73,0.50,33.44
67.75,0.50,33.44
67.76,0.50,33.44
67.77,0.50,33.44
67.78,0.50,33.44
67.80,0.50,33.44
67.81,0.50,33.44
67.82,0.50,33.44
67.83,0.50,33.44
67.85,0.50,33.44
67.86,0.50,33.44
67.87,0.50,33.44
67.88,0.50,33.44
67.90,0.50,33.44
67.91,0.50,33.44
67.92,0.50,33.44
67.93,0.50,33.44
65.24,0.50,33.50
69.01,0.50,33.44
67.95,0.50,33.44
67.96,0.50,33.44
67.97,0.50,33.44
67.98,0.50,33.44
65.29,0.50,33.50
66.35,0.50,33.50
66.34,0.50,33.50
66.33,0.50,33.50
66.32,0.50,33.50
66.31,0.50,33.50
66.29,0.50,33.50
66.28,0.50,33.50
66.27,0.50,33.50
66.26,0.50,33.50
66.25,0.50,33.50
66.24,0.50,33.50
66.23,0.50,33.50
66.21,0.50,33.50
66.20,0.50,33.50
66.19,0.50,33.50
66.18,0.50,33.50
66.17,0.50,33.50
66.16,0.50,33.50
66.15,0.50,33.50
66.13,0.50,33.50
66.12,0.50,33.50
66.11,0.50,33.50
66.10,0.50,33.50
66.09,0.50,33.50
66.08,0.50,33.50
66.07,0.50,33.50
66.05,0.50,33.50
66.04,0.50,33.50
63.33,0.50,33.56
67.07,0.50,33.50
65.98,0.50,33.50
65.97,0.50,33.50
63.26,0.50,33.56
64.29,0.50,33.56
64.26,0.50,33.56
64.22,0.50,33.56
64.19,0.50,33.56
64.15,0.50,33.56
64.12,0.50,33.56
